,Country,latitude,longitude
182,Rwanda,-2.0,30.0
183,Saint Helena,-15.95,-5.7
184,Saint Kitts And Nevis,17.33333333,-62.75
185,Saint Lucia,13.88333333,-60.96666666
186,Saint Pierre and Miquelon,46.83333333,-56.33333333
187,Saint Vincent And The Grenadines,13.25,-61.2
188,Saint-Barthelemy,18.5,-63.41666666
189,Saint-Martin (French part),18.08333333,-63.95
190,Samoa,-13.58333333,-172.33333333
191,San Marino,43.76666666,12.41666666
192,Sao Tome and Principe,1.0,7.0
193,Saudi Arabia,25.0,45.0
194,Senegal,14.0,-14.0
195,Serbia,44.0,21.0
196,Seychelles,-4.58333333,55.66666666
197,Sierra Leone,8.5,-11.5
198,Singapore,1.36666666,103.8
199,Sint Maarten (Dutch part),18.033333,-63.05
200,Slovakia,48.66666666,19.5
201,Slovenia,46.11666666,14.81666666
202,Solomon Islands,-8.0,159.0
203,Somalia,10.0,49.0
204,South Africa,-29.0,24.0
205,South Georgia,-54.5,-37.0
206,South Korea,37.0,127.5
207,South Sudan,7.0,30.0
208,Spain,40.0,-4.0
209,Sri Lanka,7.0,81.0
210,Sudan,15.0,30.0
211,Suriname,4.0,-56.0
212,Svalbard And Jan Mayen Islands,78.0,20.0
213,Swaziland,-26.5,31.5
214,Sweden,62.0,15.0
215,Switzerland,47.0,8.0
216,Syria,35.0,38.0
217,Taiwan,23.5,121.0
218,Tajikistan,39.0,71.0
219,Tanzania,-6.0,35.0
220,Thailand,15.0,100.0
221,The Bahamas,24.25,-76.0
222,Togo,8.0,1.16666666
223,Tokelau,-9.0,-172.0
224,Tonga,-20.0,-175.0
225,Trinidad And Tobago,11.0,-61.0
226,Tunisia,34.0,9.0
227,Turkey,39.0,35.0
228,Turkmenistan,40.0,60.0
229,Turks And Caicos Islands,21.75,-71.58333333
230,Tuvalu,-8.0,178.0
231,Uganda,1.0,32.0
232,Ukraine,49.0,32.0
233,United Arab Emirates,24.0,54.0
234,United Kingdom,54.0,-2.0
235,United States,38.0,-97.0
236,United States Minor Outlying Islands,0.0,0.0
237,Uruguay,-33.0,-56.0
238,Uzbekistan,41.0,64.0
239,Vanuatu,-16.0,167.0
240,Vatican City State (Holy See),41.9,12.45
241,Venezuela,8.0,-66.0
242,Vietnam,16.16666666,107.83333333
243,Virgin Islands (British),18.431383,-64.62305
244,Virgin Islands (US),18.34,-64.93
245,Wallis And Futuna Islands,-13.3,-176.2
246,Western Sahara,24.5,-13.0
247,Yemen,15.0,48.0
248,Zambia,-15.0,30.0
249,Zimbabwe,-20.0,30.0
